instance,source,scenario_index,depot_internal,truck_walk_eval_preferred,truck_assigned_demands,drone_sequence_spt,drone_assigned_demands,drone_arrival_time
Instance4,table3_paper_exact_repaired,0,16,"[16, 5, 7, 3, 11, 3, 12, 2, 12, 3, 7, 16]",,"[14, 13, 9]",,
Instance4,table3_paper_exact_repaired,0,17,"[17, 10, 1, 0, 4, 17]",,"[8, 6]",,
Instance4,table3_paper_exact_repaired,1,16,"[16, 5, 7, 3, 11, 3, 12, 3, 7, 16]",,"[14, 13, 2]",,
Instance4,table3_paper_exact_repaired,1,17,"[17, 10, 8, 6, 9, 6, 17]",,"[1, 0, 4]",,
Instance4,table3_paper_exact_repaired,2,16,"[16, 5, 7, 3, 11, 16]",,"[14, 13, 12]",,
Instance4,table3_paper_exact_repaired,2,17,"[17, 10, 8, 6, 9, 2, 9, 6, 17]",,"[1, 0, 4]",,
Instance4,table3_paper_exact_repaired,3,16,"[16, 5, 7, 3, 11, 3, 12, 2, 12, 3, 7, 16]",,"[14, 13, 6]",,
Instance4,table3_paper_exact_repaired,3,17,"[17, 10, 1, 0, 4, 17]",,"[8, 9]",,
Instance4,table3_paper_exact_repaired,4,16,"[16, 5, 7, 3, 11, 16]",,"[14, 13, 12]",,
Instance4,table3_paper_exact_repaired,4,17,"[17, 10, 8, 6, 9, 2, 9, 6, 17]",,"[1, 0, 4]",,
Instance4,table3_paper_exact_repaired,5,16,"[16, 5, 7, 3, 11, 3, 12, 2, 12, 3, 7, 16]",,"[14, 13, 9]",,
Instance4,table3_paper_exact_repaired,5,17,"[17, 10, 1, 0, 4, 17]",,"[8, 6]",,
Instance4,table3_paper_exact_repaired,6,16,"[16, 5, 7, 3, 11, 3, 12, 2, 12, 3, 7, 16]",,"[14, 13, 9]",,
Instance4,table3_paper_exact_repaired,6,17,"[17, 10, 1, 0, 4, 17]",,"[8, 6]",,
Instance4,table3_paper_exact_repaired,7,16,"[16, 5, 7, 3, 11, 3, 12, 2, 12, 3, 7, 16]",,"[14, 13, 9]",,
Instance4,table3_paper_exact_repaired,7,17,"[17, 10, 1, 0, 4, 17]",,"[8, 6]",,
Instance4,table3_paper_exact_repaired,8,16,"[16, 5, 7, 3, 11, 3, 12, 2, 12, 3, 7, 16]",,"[14, 13, 9]",,
Instance4,table3_paper_exact_repaired,8,17,"[17, 10, 1, 0, 4, 17]",,"[8, 6]",,
Instance4,table3_paper_exact_repaired,9,16,"[16, 5, 7, 3, 11, 3, 12, 2, 12, 3, 7, 16]",,"[14, 13, 9]",,
Instance4,table3_paper_exact_repaired,9,17,"[17, 10, 1, 0, 4, 17]",,"[8, 6]",,
Instance5,table3_existing,0,17,"[17, 5, 4, 6, 11, 8, 11]",,"[9, 1]",,
Instance5,table3_existing,0,19,"[19, 10, 2, 12, 7, 12, 0, 12, 2, 10]",,"[14, 13, 3]",,
Instance5,table3_existing,1,17,"[17, 5, 4, 6, 11, 11, 8]",,"[9, 1]",,
Instance5,table3_existing,1,19,"[19, 10, 2, 12, 7, 12, 0, 12, 2, 10]",,"[14, 13, 3]",,
Instance5,table3_existing,2,17,"[17, 5, 4, 6, 11, 1, 11]",,"[9, 8]",,
Instance5,table3_existing,2,19,"[19, 10, 2, 12, 7, 12, 0, 12, 2, 10]",,"[14, 13, 3]",,
Instance5,table3_existing,3,17,"[17, 5, 6, 4, 6, 11, 11, 1, 0]",,"[9, 8]",,
Instance5,table3_existing,3,19,"[19, 10, 14, 13, 3]",,"[2, 12, 7]",,
Instance5,table3_existing,4,17,"[17, 5, 6, 4, 6, 5, 8]",,"[9, 13]",,
Instance5,table3_existing,4,19,"[19, 10, 2, 12, 0, 1, 11]",,"[14, 7, 3]",,
Instance5,table3_existing,5,17,"[17, 5, 6, 4, 6, 11, 11]",,"[9, 8]",,
Instance5,table3_existing,5,19,"[19, 10, 2, 12, 0, 1]",,"[14, 7, 13, 3]",,
Instance5,table3_existing,6,17,"[17, 5, 6, 4, 6, 11, 11, 1]",,"[9, 8]",,
Instance5,table3_existing,6,19,"[19, 10, 2, 12, 12, 12, 2, 10, 14, 13, 3]",,"[7, 0]",,
Instance5,table3_existing,7,17,"[17, 5, 6, 4, 6, 11, 8, 11]",,"[9, 1]",,
Instance5,table3_existing,7,19,"[19, 10, 2, 12, 7, 12, 0, 12, 2, 10]",,"[14, 13, 3]",,
Instance5,table3_existing,8,17,"[17, 5, 4, 6, 11, 8, 11]",,"[9, 1]",,
Instance5,table3_existing,8,19,"[19, 10, 2, 12, 12, 12, 2, 10, 14, 13, 3]",,"[7, 0]",,
Instance5,table3_existing,9,17,"[17, 5, 6, 4, 6, 11, 11, 1]",,"[9, 8]",,
Instance5,table3_existing,9,19,"[19, 10, 2, 12, 12, 12, 2, 10, 14, 13, 3]",,"[7, 0]",,
Instance5,table3_paper_exact_repaired,0,17,"[17, 5, 4, 6, 11, 8, 11, 6, 17]",,"[9, 1]",,
Instance5,table3_paper_exact_repaired,0,19,"[19, 10, 2, 12, 7, 12, 0, 12, 2, 10, 19]",,"[14, 13, 3]",,
Instance5,table3_paper_exact_repaired,1,17,"[17, 5, 4, 6, 11, 8, 17]",,"[9, 1]",,
Instance5,table3_paper_exact_repaired,1,19,"[19, 10, 2, 12, 7, 12, 0, 12, 2, 10, 19]",,"[14, 13, 3]",,
Instance5,table3_paper_exact_repaired,2,17,"[17, 5, 4, 6, 11, 1, 11, 6, 17]",,"[9, 8]",,
Instance5,table3_paper_exact_repaired,2,19,"[19, 10, 2, 12, 7, 12, 0, 12, 2, 10, 19]",,"[14, 13, 3]",,
Instance5,table3_paper_exact_repaired,3,17,"[17, 5, 6, 4, 6, 11, 1, 0, 1, 11, 6, 17]",,"[9, 8]",,
Instance5,table3_paper_exact_repaired,3,19,"[19, 10, 14, 13, 3, 13, 14, 19]",,"[2, 12, 7]",,
Instance5,table3_paper_exact_repaired,4,17,"[17, 5, 6, 4, 6, 5, 8, 17]",,"[9, 13]",,
Instance5,table3_paper_exact_repaired,4,19,"[19, 10, 2, 12, 0, 1, 11, 1, 0, 12, 2, 19]",,"[14, 7, 3]",,
Instance5,table3_paper_exact_repaired,5,17,"[17, 5, 6, 4, 6, 11, 6, 17]",,"[9, 8]",,
